town,year,event_type,effect_direction,confidence,intensity,lag_t,lag_t1,source_url,source_name,publish_date,_score
春日3丁目,2022,commercial,increase,1.0,1.0,1,1,https://www.city.kumamoto.jp/|https://www.athome.co.jp/,熊本市公式サイト／アットホーム,2022-11-01,"(1, 1.0, 1.0, -1667260800000000000)"
月出1丁目,2008,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
月出1丁目,2008,public_edu_medical,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
月出2丁目,2001,commercial,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
月出2丁目,2001,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
月出2丁目,2001,public_edu_medical,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
本山3丁目,2009,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
本山3丁目,2009,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
本山町,2002,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
本山町,2022,housing,increase,1.0,1.0,1,1,https://www.city.kumamoto.jp/,熊本市公式サイト,2022-06-10,"(1, 1.0, 1.0, -1654819200000000000)"
東子飼町,2000,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
東子飼町,2000,public_edu_medical,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
東町1丁目,2024,disaster,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
東町1丁目,2024,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
東町3丁目,2015,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
東町3丁目,2018,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
東町3丁目,2024,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
東町3丁目,2024,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
東町4丁目,2006,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
東町4丁目,2007,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
