町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
湖東２丁目,1261,606,655,55,55,56,44,47,57,86,75,78,95,73,71,76,80,82,78,67,51,21,10,4
湖東３丁目,820,387,433,31,25,27,38,26,31,32,39,52,59,55,57,59,64,60,51,51,35,20,6,2
琴平１丁目,741,370,371,21,19,26,29,53,64,48,40,40,53,50,38,36,52,43,30,37,45,12,5,0
琴平２丁目,910,432,478,38,22,36,48,60,73,59,70,58,61,53,52,43,65,74,44,23,15,12,3,1
琴平本町,1398,633,765,40,38,55,50,75,81,78,85,104,97,76,76,94,114,119,73,55,51,25,10,2
呉服町１丁目,81,32,49,4,3,2,4,2,4,4,3,7,4,8,5,2,1,5,11,5,4,3,0,0
呉服町２丁目,330,157,173,19,10,5,10,23,50,33,16,31,35,14,20,12,16,21,7,6,1,1,0,0
呉服町３丁目,336,145,191,22,25,17,14,9,15,28,30,29,36,32,23,13,12,14,9,5,1,2,0,0
米屋町１丁目,481,198,283,13,24,30,36,22,18,15,18,37,55,42,37,41,28,27,18,10,7,3,0,0
米屋町２丁目,269,117,152,8,2,6,6,27,25,16,15,14,19,18,18,26,20,18,8,16,5,2,0,0
米屋町３丁目,239,97,142,9,0,8,11,16,31,16,10,19,18,13,18,12,14,22,8,6,6,2,0,0
御領１丁目,1223,604,619,55,55,43,63,58,70,67,97,88,89,85,78,80,65,102,43,38,25,11,7,4
御領２丁目,1566,721,845,93,97,69,72,59,72,102,123,111,135,102,71,74,90,95,83,67,34,15,2,0
御領３丁目,1342,636,706,61,76,76,70,80,55,85,86,89,102,82,80,61,73,100,73,47,30,10,5,1
御領４丁目,281,134,147,17,11,11,5,19,28,31,14,13,15,13,30,15,24,12,5,13,4,1,0,0
御領５丁目,1252,616,636,95,83,63,43,79,85,106,107,105,94,70,52,51,67,56,42,27,15,10,2,0
御領６丁目,394,215,179,35,8,9,11,23,48,38,41,26,33,20,21,18,15,20,8,9,7,4,0,0
御領７丁目,546,268,278,45,25,27,32,36,64,64,41,45,41,30,28,20,13,11,9,13,2,0,0,0
護藤町,1814,872,942,130,142,99,64,53,74,93,163,136,111,94,83,101,112,125,82,63,50,24,12,3
細工町１丁目,136,67,69,11,8,5,6,13,18,10,10,6,10,3,7,6,4,7,2,5,3,2,0,0
細工町２丁目,55,30,25,0,0,2,3,5,4,3,6,3,3,2,5,4,5,3,4,2,0,1,0,0
細工町３丁目,149,59,90,4,8,4,4,8,6,8,5,14,5,12,15,10,10,9,9,12,3,2,1,0
細工町４丁目,215,91,124,5,8,5,9,6,8,14,10,9,19,23,11,12,22,24,13,8,4,3,2,0
細工町５丁目,44,19,25,2,1,2,0,2,1,1,3,6,2,6,2,5,4,3,2,1,0,1,0,0
栄町,425,190,235,10,13,24,23,11,17,13,15,22,21,34,24,31,39,35,26,26,19,18,4,0
桜木１丁目,865,409,456,55,47,45,34,48,51,56,77,60,63,74,53,38,38,48,26,26,18,5,3,0
桜木２丁目,774,370,404,50,54,43,37,33,40,38,49,64,56,34,45,38,44,41,42,29,21,11,4,1
桜木３丁目,961,458,503,47,49,59,64,52,41,39,46,73,89,69,66,53,46,54,30,29,24,23,7,1
桜木４丁目,1656,786,870,73,106,124,113,75,81,94,106,132,138,104,99,87,105,72,52,48,30,13,2,2
桜木５丁目,896,424,472,44,53,64,66,39,45,40,60,47,95,77,45,48,45,41,32,26,20,4,5,0
桜木６丁目,122,61,61,16,14,9,6,0,3,11,9,14,10,1,5,9,3,3,1,3,4,0,1,0
桜町,463,205,258,23,9,6,12,34,40,33,25,43,29,35,25,32,38,33,24,11,7,3,0,1
佐土原１丁目,1594,765,829,65,61,67,72,70,76,78,88,93,97,112,144,161,132,116,67,51,29,11,4,0
佐土原２丁目,621,311,310,45,70,58,30,17,17,34,52,74,40,35,38,16,21,28,22,12,5,6,1,0
佐土原３丁目,769,364,405,82,95,85,49,16,14,61,70,90,72,33,25,12,20,20,7,7,7,2,1,1
三郎１丁目,1208,558,650,34,38,39,46,79,56,40,66,73,81,84,89,85,95,99,57,67,41,20,18,1
三郎２丁目,829,378,451,27,30,32,35,42,17,33,40,49,54,56,55,58,47,62,52,48,58,30,3,1
島崎１丁目,2485,1107,1378,116,100,103,123,134,161,133,147,176,208,152,175,146,149,142,112,91,68,32,16,1
島崎２丁目,2460,1153,1307,91,89,91,123,136,131,129,126,188,183,179,165,141,150,170,120,106,83,43,14,2
島崎３丁目,1179,536,643,31,51,68,55,45,30,46,69,73,75,76,54,69,98,123,71,61,44,29,10,1
島崎４丁目,928,427,501,29,45,50,55,45,39,32,49,53,82,80,53,61,76,70,32,30,31,12,4,0
島崎５丁目,1719,811,908,64,80,77,68,64,62,77,94,122,115,104,88,102,158,174,90,76,45,49,9,1
島崎６丁目,1420,607,813,64,54,56,65,64,60,60,74,87,91,78,70,77,106,134,80,78,69,30,19,4
島崎７丁目,595,285,310,9,13,22,18,21,14,15,18,30,35,25,45,50,67,94,39,38,25,13,3,1
清水亀井町,701,314,387,29,30,37,41,38,28,25,26,35,44,53,41,28,54,69,52,30,30,8,3,0
清水東町,1437,678,759,79,79,59,68,69,73,101,106,94,104,91,73,87,62,85,62,64,49,25,7,0
清水本町,1424,678,746,40,55,77,79,76,61,70,89,89,111,112,101,75,89,114,53,54,43,25,7,4
清水町大字打越,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
清水町大字松崎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
清水町大字室園,25,14,11,2,1,2,1,3,0,0,0,3,6,3,1,0,0,2,1,0,0,0,0,0
清水万石１丁目,789,365,424,28,25,25,29,48,44,45,32,52,52,59,53,48,48,67,55,43,20,15,1,0
清水万石２丁目,129,61,68,2,6,5,4,4,6,4,3,3,10,9,15,9,5,14,11,9,7,2,1,0
清水万石３丁目,521,233,288,18,21,16,19,17,21,29,27,32,35,32,32,36,43,54,22,32,17,13,4,1
清水万石４丁目,967,422,545,40,49,52,64,49,28,25,59,65,65,57,50,60,61,72,73,49,29,13,5,2
清水万石５丁目,1089,529,560,55,33,49,61,60,74,70,68,73,67,66,78,82,83,74,39,29,17,7,4,0
下硯川町,1058,499,559,52,50,41,25,63,110,79,63,64,56,68,57,77,67,74,45,33,24,6,4,0
下通１丁目,116,56,60,3,3,5,2,4,5,4,5,8,6,4,13,11,13,10,6,5,9,0,0,0
下通２丁目,340,166,174,3,7,5,3,15,45,33,34,31,27,17,16,19,17,19,10,13,15,7,4,0
下南部１丁目,299,139,160,12,8,12,10,17,24,14,28,19,19,22,15,16,16,19,18,13,12,1,4,0
下南部２丁目,1322,655,667,60,63,67,69,72,69,66,90,95,94,77,63,97,86,97,70,49,26,8,2,2
下南部３丁目,1392,678,714,65,57,44,53,88,139,111,90,117,102,81,95,72,89,69,34,36,29,19,2,0
十禅寺１丁目,555,264,291,22,24,27,22,51,25,25,29,34,59,42,38,33,23,39,26,17,13,5,1,0
十禅寺２丁目,649,314,335,33,22,29,31,20,36,46,39,38,44,38,48,34,36,53,36,21,31,6,7,1
十禅寺３丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
城山上代町,160,64,96,7,9,3,2,5,7,7,12,7,4,6,3,8,15,6,14,12,12,19,2,0
城東町,791,373,418,20,19,19,21,27,37,23,23,30,52,35,56,55,81,91,66,55,45,29,6,1
昭和町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
白石町,324,154,170,6,6,16,14,12,5,13,18,10,29,23,20,22,28,33,25,21,13,5,3,2
新大江１丁目,1607,741,866,27,58,81,83,122,90,75,70,94,128,113,110,134,119,124,84,40,32,17,5,1
新大江２丁目,1542,712,830,47,85,91,85,82,68,70,91,112,130,116,108,104,83,82,49,53,48,31,5,2
新大江３丁目,2004,928,1076,73,93,104,96,111,111,106,137,145,138,127,120,137,132,142,63,66,52,39,11,1
新鍛冶屋町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新市街,146,69,77,8,4,6,1,4,8,14,9,17,13,9,10,8,7,10,6,7,3,1,1,0
新生１丁目,1308,625,683,52,59,70,48,59,60,80,69,80,114,100,84,81,84,89,54,48,43,25,6,3
新生２丁目,654,311,343,17,16,19,26,31,19,22,24,45,41,47,46,48,45,79,44,39,25,11,9,1
新土河原１丁目,715,355,360,27,7,32,43,44,38,38,43,45,56,55,46,40,53,50,44,28,17,6,2,1
新土河原２丁目,683,313,370,47,26,20,30,35,53,39,47,47,63,35,46,27,33,46,38,26,18,6,1,0
新南部１丁目,211,111,100,4,10,8,8,13,2,11,11,14,14,15,8,17,11,16,21,12,10,4,1,1
新南部２丁目,711,355,356,40,41,36,42,37,44,37,42,54,37,42,38,30,44,47,20,20,39,15,5,1
新南部３丁目,1249,625,624,64,66,54,58,75,81,78,93,88,99,76,52,62,74,82,46,50,34,11,6,0
