町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
白石町,353,163,190,13,13,19,14,20,17,11,20,20,18,24,25,34,29,25,19,17,10,2,3,0
新大江１丁目,1665,763,902,68,72,90,109,130,112,98,106,92,123,136,123,129,83,54,51,50,25,13,1,0
新大江２丁目,1476,688,788,64,64,71,91,81,98,83,113,113,117,102,88,90,64,70,62,62,31,8,4,0
新大江３丁目,1891,882,1009,63,74,103,124,138,116,103,115,121,132,136,145,161,80,83,78,62,37,17,3,0
新鍛冶屋町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新港１丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新市街,133,62,71,3,3,3,5,12,10,11,7,6,8,9,10,10,9,10,8,3,5,1,0,0
新生１丁目,1372,634,738,61,40,64,68,77,84,87,106,94,95,82,88,101,69,69,64,55,37,26,5,0
新生２丁目,756,360,396,21,27,31,30,28,26,43,43,48,45,52,56,89,46,41,40,41,30,14,4,1
新土河原１丁目,817,389,428,53,53,43,36,35,46,71,73,73,45,39,62,53,44,31,31,19,5,5,0,0
新土河原２丁目,714,336,378,61,42,26,16,32,55,74,78,47,48,26,28,58,41,33,22,15,8,3,0,1
新南部１丁目,230,112,118,5,12,3,7,11,17,21,12,18,8,14,16,15,27,14,16,9,3,2,0,0
新南部２丁目,625,293,332,25,24,27,27,43,36,45,34,40,36,32,52,51,19,27,38,29,23,15,2,0
新南部３丁目,1119,571,548,47,58,58,53,72,103,87,93,77,55,67,66,77,50,57,36,24,25,9,5,0
新南部４丁目,384,190,194,17,11,15,14,26,33,43,23,26,19,26,35,25,15,15,17,12,8,4,0,0
新南部５丁目,1259,594,665,46,55,96,104,75,63,76,79,117,119,100,74,86,38,31,43,29,20,5,3,0
新南部６丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
