町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
新大江２丁目,1549,740,809,38,64,84,91,91,90,75,81,114,97,135,99,116,86,84,69,46,48,30,11,0
新大江３丁目,1936,892,1044,57,86,99,109,104,90,89,107,142,156,108,149,115,123,133,102,59,56,37,14,1
新鍛冶屋町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新市街,169,81,88,12,5,8,4,4,16,13,10,11,23,10,7,6,13,8,7,5,4,2,1,0
新生１丁目,1304,621,683,44,66,63,71,45,70,67,68,83,93,108,93,78,78,89,66,51,35,25,10,1
新生２丁目,624,288,336,8,17,11,22,25,21,17,17,38,43,55,51,42,48,58,64,42,23,14,6,2
新土河原１丁目,733,353,380,34,20,19,43,41,44,41,40,35,57,57,55,47,45,46,50,25,22,8,4,0
新土河原２丁目,681,321,360,40,24,19,24,46,52,37,36,40,48,54,48,40,33,45,30,35,21,6,3,0
新南部１丁目,191,105,86,4,8,8,6,6,3,7,13,12,13,11,14,8,18,11,17,15,7,7,2,1
新南部２丁目,791,389,402,42,46,39,39,35,57,62,53,44,62,41,38,32,40,47,40,18,33,18,4,1
新南部３丁目,1171,580,591,42,56,49,54,83,85,60,68,82,104,80,55,48,60,85,51,38,40,23,6,2
新南部４丁目,302,156,146,6,7,10,12,17,13,13,28,18,16,16,27,19,32,32,13,11,3,7,2,0
新南部５丁目,1076,502,574,24,39,40,51,53,35,42,49,55,63,79,114,96,103,82,69,32,27,18,5,0
新南部６丁目,220,114,106,4,10,6,5,13,21,16,12,17,15,21,12,10,18,13,6,13,4,3,1,0
新外１丁目,437,204,233,16,17,22,28,27,35,24,29,40,32,29,23,22,30,24,14,12,9,4,0,0
新外２丁目,352,159,193,10,6,13,19,16,23,15,20,26,21,25,24,28,19,34,19,16,9,6,3,0
新外３丁目,1016,476,540,46,38,45,52,63,40,67,60,67,88,84,60,76,52,68,43,36,18,11,2,0
新外４丁目,420,217,203,21,18,18,31,21,25,23,15,33,20,39,31,20,27,23,19,19,11,4,2,0
新町１丁目,1811,786,1025,49,62,56,63,143,112,87,88,93,131,131,136,136,129,132,105,59,49,31,17,2
新町２丁目,976,441,535,42,28,21,29,59,95,75,81,70,65,61,69,46,50,49,44,43,27,17,5,0
新町３丁目,1952,850,1102,72,55,58,86,149,225,168,125,114,134,128,100,132,92,91,81,61,50,24,5,2
新町４丁目,1656,734,922,68,52,53,53,129,140,115,130,116,137,115,88,95,69,100,75,54,31,21,13,2
新港１丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新屋敷１丁目,1545,696,849,48,66,69,90,108,87,86,80,77,97,142,171,104,105,73,44,41,23,24,8,2
新屋敷２丁目,1493,694,799,62,77,76,82,102,70,83,105,102,114,100,87,93,83,84,55,43,45,19,9,2
新屋敷３丁目,924,434,490,15,41,53,57,75,51,38,51,46,86,71,64,55,56,40,47,27,30,14,7,0
水源１丁目,688,315,373,18,28,39,28,21,10,23,27,44,42,41,43,28,49,77,60,52,29,22,7,0
水源２丁目,395,174,221,16,14,8,17,17,12,15,22,24,24,17,25,25,32,33,29,32,17,13,1,2
水前寺１丁目,3285,1420,1865,87,93,106,130,224,219,169,191,192,259,292,233,230,203,180,187,139,90,46,14,1
水前寺２丁目,1380,629,751,38,55,48,61,60,63,63,67,85,102,125,108,96,93,104,93,48,37,22,11,1
水前寺３丁目,2926,1320,1606,64,66,80,90,188,222,184,136,181,177,206,239,224,230,169,168,122,98,59,18,5
水前寺４丁目,2011,930,1081,70,81,101,96,86,103,106,89,133,162,156,119,103,138,145,119,86,55,48,13,2
水前寺５丁目,1315,616,699,52,41,54,63,74,86,64,85,95,77,81,99,103,75,80,56,53,43,23,7,4
水前寺６丁目,1283,613,670,57,31,29,39,72,114,104,73,92,88,99,73,69,64,83,60,57,38,31,7,3
水前寺公園,2949,1286,1663,117,125,167,171,136,106,142,175,196,223,259,220,184,164,172,144,107,79,43,19,0
水道町,1041,453,588,39,28,47,43,36,39,41,64,57,74,102,96,74,70,77,70,42,23,15,2,2
菅原町,897,389,508,20,24,32,47,49,54,48,51,56,60,78,74,47,66,48,64,33,30,10,5,1
硯川町,874,413,461,53,91,53,38,29,33,52,74,72,51,43,37,35,40,47,50,32,24,16,3,1
砂原町,1577,760,817,81,103,82,56,61,70,105,98,108,114,93,84,90,86,122,104,56,30,28,6,0
銭塘町,1043,493,550,34,49,38,40,43,39,36,62,61,55,54,67,59,87,99,62,72,40,35,11,0
船場町２丁目,155,76,79,1,0,1,3,20,24,22,9,12,10,8,14,9,5,7,4,5,0,0,1,0
船場町３丁目,249,121,128,9,8,2,3,15,25,31,20,14,13,10,22,20,15,10,11,13,4,4,0,0
船場町下１丁目,217,92,125,4,7,7,11,7,2,11,8,6,11,13,10,17,19,19,23,11,20,10,1,0
高平１丁目,1631,761,870,34,77,87,86,75,47,43,67,97,106,123,96,121,97,114,132,100,77,41,10,1
高平２丁目,1157,554,603,40,54,60,50,52,54,60,57,70,99,87,59,69,68,88,76,51,37,17,9,0
高平３丁目,1489,712,777,42,53,60,69,59,65,45,68,80,103,125,99,114,100,103,113,95,56,26,12,2
田崎１丁目,720,352,368,41,26,18,30,36,48,47,46,48,56,42,76,52,39,39,34,19,16,4,3,0
田崎２丁目,794,325,469,4,18,23,39,37,26,26,20,34,47,56,61,45,52,85,84,75,42,16,4,0
田崎３丁目,1099,446,653,21,31,37,57,31,29,33,36,43,67,64,77,75,73,115,115,98,67,21,8,1
田崎本町,526,235,291,16,17,13,26,12,34,45,23,22,44,38,41,32,34,39,30,23,21,9,6,1
田崎町,571,267,304,21,15,22,30,40,28,24,26,33,41,44,40,29,29,41,52,23,18,12,3,0
