人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
武蔵ケ丘８丁目,494.0,235.0,259.0,45.0,51.0,49.0,53.0,51.0,49.0,66.0,66.0,34.0,51.0,52.0,51.0,36.0,25.0,26.0,9.0,8.0,6.0,1.0,0.0,0.0
武蔵ケ丘９丁目,338.0,171.0,167.0,25.0,36.0,28.0,43.0,44.0,34.0,29.0,39.0,31.0,41.0,62.0,32.0,16.0,14.0,16.0,12.0,6.0,0.0,1.0,0.0,0.0
無田口町,496.0,236.0,260.0,21.0,29.0,50.0,48.0,44.0,42.0,26.0,40.0,45.0,69.0,66.0,52.0,37.0,39.0,37.0,43.0,27.0,13.0,4.0,0.0,0.0
室園町,1378.0,657.0,721.0,61.0,98.0,102.0,123.0,165.0,139.0,105.0,123.0,145.0,145.0,115.0,101.0,148.0,119.0,159.0,79.0,47.0,37.0,21.0,2.0,1.0
明徳町,539.0,266.0,273.0,45.0,48.0,51.0,47.0,46.0,43.0,41.0,63.0,49.0,82.0,50.0,55.0,38.0,45.0,33.0,34.0,23.0,4.0,5.0,3.0,0.0
元三町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
元三町１丁目,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
元三町２丁目,461.0,218.0,243.0,42.0,39.0,47.0,45.0,50.0,43.0,55.0,54.0,50.0,56.0,47.0,36.0,28.0,24.0,24.0,19.0,12.0,5.0,2.0,1.0,0.0
元三町３丁目,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
元三町４丁目,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
