町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
十禅寺３丁目,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
城山上代町,148.0,62.0,86.0,3.0,6.0,5.0,3.0,5.0,2.0,5.0,6.0,3.0,5.0,13.0,4.0,3.0,12.0,12.0,16.0,18.0,14.0,10.0,3.0,0.0
城東町,343.0,132.0,211.0,9.0,7.0,3.0,6.0,13.0,23.0,25.0,22.0,16.0,15.0,13.0,23.0,11.0,21.0,26.0,43.0,48.0,13.0,3.0,3.0,0.0
昭和町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
白石町,353.0,162.0,191.0,6.0,15.0,14.0,20.0,25.0,14.0,16.0,15.0,17.0,21.0,26.0,34.0,28.0,26.0,23.0,20.0,17.0,7.0,6.0,3.0,0.0
新大江１丁目,1711.0,795.0,916.0,67.0,80.0,104.0,115.0,136.0,103.0,105.0,100.0,134.0,144.0,142.0,133.0,101.0,56.0,63.0,52.0,44.0,24.0,5.0,3.0,0.0
新大江２丁目,1489.0,710.0,779.0,63.0,65.0,90.0,73.0,107.0,93.0,96.0,127.0,119.0,106.0,86.0,102.0,68.0,73.0,68.0,71.0,45.0,21.0,15.0,1.0,0.0
新大江３丁目,1954.0,920.0,1034.0,66.0,86.0,120.0,128.0,153.0,120.0,117.0,120.0,124.0,153.0,150.0,178.0,100.0,78.0,84.0,82.0,59.0,22.0,10.0,4.0,0.0
新鍛冶屋町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
新港１丁目,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
新市街,149.0,73.0,76.0,5.0,1.0,3.0,10.0,11.0,11.0,7.0,6.0,8.0,7.0,15.0,11.0,10.0,10.0,10.0,8.0,13.0,2.0,1.0,0.0,0.0
新生１丁目,1445.0,679.0,766.0,57.0,79.0,70.0,74.0,62.0,83.0,114.0,105.0,111.0,91.0,77.0,114.0,74.0,77.0,73.0,64.0,65.0,31.0,20.0,4.0,0.0
新生２丁目,772.0,371.0,401.0,33.0,26.0,27.0,26.0,32.0,47.0,44.0,52.0,46.0,45.0,54.0,81.0,56.0,40.0,38.0,46.0,43.0,25.0,8.0,2.0,1.0
新土河原１丁目,864.0,394.0,470.0,65.0,52.0,42.0,35.0,45.0,68.0,77.0,77.0,52.0,47.0,57.0,66.0,56.0,34.0,33.0,32.0,15.0,7.0,1.0,3.0,0.0
新土河原２丁目,700.0,330.0,370.0,49.0,24.0,22.0,26.0,40.0,76.0,88.0,53.0,53.0,35.0,31.0,53.0,42.0,38.0,26.0,24.0,12.0,3.0,3.0,2.0,0.0
新南部１丁目,250.0,116.0,134.0,7.0,8.0,6.0,9.0,26.0,27.0,19.0,15.0,11.0,13.0,15.0,12.0,23.0,19.0,18.0,13.0,4.0,4.0,0.0,1.0,0.0
新南部２丁目,623.0,289.0,334.0,18.0,29.0,26.0,42.0,34.0,34.0,40.0,38.0,33.0,41.0,53.0,50.0,28.0,26.0,41.0,31.0,29.0,23.0,5.0,1.0,1.0
新南部３丁目,1187.0,596.0,591.0,62.0,63.0,51.0,61.0,131.0,108.0,99.0,86.0,62.0,75.0,72.0,80.0,56.0,56.0,47.0,30.0,27.0,12.0,8.0,1.0,0.0
新南部４丁目,405.0,204.0,201.0,13.0,14.0,15.0,30.0,33.0,38.0,36.0,29.0,20.0,24.0,32.0,32.0,17.0,22.0,20.0,14.0,6.0,7.0,3.0,0.0,0.0
新南部５丁目,1271.0,611.0,660.0,63.0,90.0,105.0,89.0,71.0,61.0,94.0,120.0,129.0,104.0,73.0,95.0,44.0,33.0,42.0,24.0,22.0,6.0,6.0,0.0,0.0
